,中证500
2014-03-27,3994.82
2014-03-28,3935.2
2014-03-31,3865.0
2014-04-01,3836.5
2014-04-02,3901.19
2014-04-03,3902.07
2014-04-04,3888.73
2014-04-08,3927.51
2014-04-09,3987.43
2014-04-10,4022.05
2014-04-11,4021.96
2014-04-14,4019.5
2014-04-15,4050.33
2014-04-16,4010.36
2014-04-17,4025.38
2014-04-18,4006.88
2014-04-21,4004.61
2014-04-22,3957.22
2014-04-23,3942.5
2014-04-24,3924.45
2014-04-25,3879.45
2014-04-28,3785.96
2014-04-29,3678.62
2014-04-30,3734.8
2014-05-05,3761.23
2014-05-06,3795.36
2014-05-07,3806.84
2014-05-08,3740.25
2014-05-09,3748.49
2014-05-12,3738.67
