,创业板
2014-09-05,1497.99
2014-09-09,1492.45
2014-09-10,1491.41
2014-09-11,1506.0
2014-09-12,1512.4
2014-09-15,1522.57
2014-09-16,1527.07
2014-09-17,1473.52
2014-09-18,1477.31
2014-09-19,1492.1
2014-09-22,1496.96
2014-09-23,1485.51
2014-09-24,1501.04
2014-09-25,1520.1
2014-09-26,1506.31
2014-09-29,1515.38
2014-09-30,1527.26
2014-10-08,1543.59
2014-10-09,1562.1
2014-10-10,1559.93
2014-10-13,1548.18
2014-10-14,1546.67
2014-10-15,1539.35
2014-10-16,1539.86
2014-10-17,1527.46
2014-10-20,1513.42
2014-10-21,1535.07
2014-10-22,1518.8
2014-10-23,1500.55
2014-10-24,1478.34
2014-10-27,1473.66
2014-10-28,1495.69
2014-10-29,1525.98
2014-10-30,1532.91
2014-10-31,1527.61
2014-11-03,1513.25
2014-11-04,1531.82
2014-11-05,1514.77
2014-11-06,1513.72
2014-11-07,1535.49
2014-11-10,1525.2
2014-11-11,1513.53
2014-11-12,1457.24
2014-11-13,1473.74
2014-11-14,1438.97
2014-11-17,1444.06
2014-11-18,1471.08
2014-11-19,1488.46
2014-11-20,1504.58
2014-11-21,1493.16
2014-11-24,1513.43
2014-11-25,1510.62
2014-11-26,1544.69
2014-11-27,1557.77
2014-11-28,1562.83
2014-12-01,1569.65
2014-12-02,1554.46
2014-12-03,1568.47
2014-12-04,1604.89
2014-12-05,1626.12
2014-12-08,1575.3
2014-12-09,1557.02
2014-12-10,1499.33
2014-12-11,1572.61
2014-12-12,1588.24
2014-12-15,1623.6
2014-12-16,1665.3
2014-12-17,1639.15
2014-12-18,1641.58
2014-12-19,1627.8
2014-12-22,1583.96
2014-12-23,1501.53
2014-12-24,1502.67
2014-12-25,1522.0
2014-12-26,1531.2
2014-12-29,1531.12
2014-12-30,1491.1
2014-12-31,1455.68
2015-01-05,1470.58
2015-01-06,1458.57
2015-01-07,1542.4
2015-01-08,1516.83
2015-01-09,1535.33
2015-01-12,1552.05
2015-01-13,1587.69
2015-01-14,1598.72
2015-01-15,1584.68
2015-01-16,1586.71
2015-01-19,1608.25
2015-01-20,1635.57
2015-01-21,1704.1
2015-01-22,1723.24
2015-01-23,1742.09
2015-01-26,1698.99
2015-01-27,1742.47
2015-01-28,1741.07
2015-01-29,1717.4
2015-01-30,1712.85
2015-02-02,1667.12
2015-02-03,1703.93
2015-02-04,1753.77
2015-02-05,1757.23
2015-02-06,1772.35
2015-02-09,1727.22
2015-02-10,1707.26
2015-02-11,1748.23
2015-02-12,1777.22
2015-02-13,1798.54
2015-02-16,1836.71
2015-02-17,1908.18
2015-02-25,1899.39
2015-02-26,1875.33
2015-02-27,1880.63
2015-03-02,1944.11
2015-03-03,1987.33
2015-03-04,1960.54
2015-03-05,2015.7
2015-03-06,2016.81
2015-03-09,1941.42
2015-03-10,2001.19
2015-03-11,2050.76
2015-03-12,2034.62
2015-03-13,2020.66
2015-03-16,2088.2
2015-03-17,2149.37
2015-03-18,2138.37
2015-03-19,2184.76
2015-03-20,2187.47
2015-03-23,2225.85
2015-03-24,2310.51
2015-03-25,2364.94
2015-03-26,2362.45
2015-03-27,2274.68
2015-03-30,2319.31
2015-03-31,2294.32
2015-04-01,2347.0
2015-04-02,2434.76
2015-04-03,2469.85
2015-04-07,2530.07
2015-04-08,2566.94
2015-04-09,2481.69
2015-04-10,2475.55
2015-04-13,2558.19
2015-04-14,2584.59
2015-04-15,2548.99
2015-04-16,2420.93
2015-04-17,2507.47
2015-04-20,2462.41
2015-04-21,2443.12
2015-04-22,2610.74
2015-04-23,2656.18
2015-04-24,2689.91
2015-04-27,2781.6
2015-04-28,2764.41
2015-04-29,2693.48
2015-04-30,2825.16
2015-05-04,2868.1
2015-05-05,2830.79
2015-05-06,2806.3
2015-05-07,2824.82
2015-05-08,2838.97
2015-05-11,3015.43
2015-05-12,3176.54
2015-05-13,3185.34
2015-05-14,3174.45
2015-05-15,3109.12
