,创业板
2013-09-16,12435700.0
2013-09-17,11536022.0
2013-09-18,11226571.0
2013-09-23,15010865.0
2013-09-24,16213363.0
2013-09-25,14115350.0
2013-09-26,13170773.0
2013-09-27,12841526.0
2013-09-30,11271965.0
2013-10-08,14307748.0
2013-10-09,15712792.0
2013-10-10,17595100.0
2013-10-11,15418385.0
2013-10-14,15929058.0
2013-10-15,17424880.0
2013-10-16,16294064.0
2013-10-17,16227186.0
2013-10-18,13405969.0
2013-10-21,17347150.0
2013-10-22,21904618.0
2013-10-23,17911764.0
2013-10-24,12197037.0
2013-10-25,14500064.0
2013-10-28,12298115.0
2013-10-29,17475128.0
2013-10-30,12776898.0
2013-10-31,11966456.0
2013-11-01,11666154.0
2013-11-04,10090941.0
2013-11-05,12312914.0
2013-11-06,13869196.0
2013-11-07,10827570.0
2013-11-08,10027417.0
2013-11-11,9151372.0
2013-11-12,11849087.0
2013-11-13,11896718.0
2013-11-14,14711835.0
2013-11-15,17592110.0
2013-11-18,17372800.0
2013-11-19,17254948.0
2013-11-20,14999286.0
2013-11-21,15510614.0
2013-11-22,13785260.0
2013-11-25,13616777.0
2013-11-26,14632953.0
2013-11-27,17314918.0
2013-11-28,17112566.0
2013-11-29,20077894.0
2013-12-02,22464032.0
2013-12-03,19229992.0
2013-12-04,17508512.0
2013-12-05,15902429.0
2013-12-06,11847877.0
2013-12-09,12274145.0
2013-12-10,12573792.0
2013-12-11,11848543.0
2013-12-12,13711614.0
2013-12-13,13409044.0
2013-12-16,14699192.0
2013-12-17,13695909.0
2013-12-18,12548336.0
2013-12-19,12168729.0
2013-12-20,10887876.0
2013-12-23,11405589.0
2013-12-24,12160292.0
2013-12-25,15466452.0
2013-12-26,15968421.0
2013-12-27,16428741.0
2013-12-30,17242560.0
2013-12-31,14670009.0
2014-01-02,16376142.0
2014-01-03,19116662.0
2014-01-06,17027572.0
2014-01-07,14884362.0
2014-01-08,22492878.0
2014-01-09,20653468.0
2014-01-10,13861382.0
2014-01-13,12307289.0
2014-01-14,15252891.0
2014-01-15,16945264.0
2014-01-16,17455992.0
2014-01-17,15810389.0
2014-01-20,16202711.0
2014-01-21,17582378.0
2014-01-22,20805984.0
2014-01-23,22799104.0
2014-01-24,22093328.0
2014-01-27,20450628.0
2014-01-28,16541491.0
2014-01-29,16506821.0
2014-01-30,14843349.0
2014-02-07,15892295.0
2014-02-10,21682496.0
2014-02-11,22927988.0
2014-02-12,21319228.0
2014-02-13,22065732.0
2014-02-14,17613824.0
2014-02-17,21744952.0
2014-02-18,22319416.0
2014-02-19,20648878.0
2014-02-20,18896408.0
2014-02-21,14334863.0
2014-02-24,16353711.0
2014-02-25,25248336.0
2014-02-26,16707338.0
2014-02-27,17271362.0
2014-02-28,13321363.0
2014-03-03,13234945.0
2014-03-04,13269342.0
2014-03-05,12673360.0
2014-03-06,13201713.0
2014-03-07,13195195.0
2014-03-10,13398525.0
2014-03-11,11194251.0
2014-03-12,11410842.0
2014-03-13,9633420.0
2014-03-14,9565163.0
2014-03-17,11510241.0
2014-03-18,13605173.0
2014-03-19,12309232.0
2014-03-20,13673304.0
2014-03-21,12203934.0
2014-03-24,11350111.0
2014-03-25,9708193.0
2014-03-26,10503642.0
2014-03-27,11704150.0
2014-03-28,12565198.0
2014-03-31,8067195.0
2014-04-01,8320095.0
2014-04-02,8936018.0
2014-04-03,8771988.0
2014-04-04,8297504.0
2014-04-08,9691708.0
2014-04-09,11938833.0
2014-04-10,14063900.0
2014-04-11,10808003.0
2014-04-14,9870846.0
2014-04-15,9744830.0
2014-04-16,8503591.0
2014-04-17,8546019.0
2014-04-18,8829689.0
2014-04-21,9889346.0
2014-04-22,10385272.0
2014-04-23,7666299.0
2014-04-24,8919226.0
2014-04-25,8835224.0
2014-04-28,9609466.0
2014-04-29,7814229.0
2014-04-30,7374832.0
2014-05-05,7805789.0
2014-05-06,9736761.0
2014-05-07,9100635.0
2014-05-08,8548140.0
2014-05-09,8506314.0
2014-05-12,8980389.0
2014-05-13,9329826.0
2014-05-14,8878107.0
2014-05-15,10236024.0
2014-05-16,9953688.0
2014-05-19,8545538.0
2014-05-20,10926750.0
2014-05-21,9256264.0
2014-05-22,12565253.0
2014-05-23,12017865.0
2014-05-26,15387081.0
2014-05-27,13090007.0
2014-05-28,16564285.0
2014-05-29,14197108.0
2014-05-30,12574903.0
2014-06-03,12791586.0
2014-06-04,13109901.0
2014-06-05,15641622.0
